#Release 11.4 - par L.68 (lin64)
#Copyright (c) 1995-2009 Xilinx, Inc.  All rights reserved.

#Thu Jul 19 14:00:20 2012

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system_map.ncd
#OUTPUT FILE:      system_pad.csv
#PART TYPE:        xc5vsx95t
#SPEED GRADE:      -1
#PACKAGE:          ff1136
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AD9,dram_dqs_n<6>,IOB,IO_L9N_CC_22,BIDIR,DIFF_SSTL18_II_DCI,22,,,,NONE,,LOCATED,YES,SPLIT,
AD10,dram_dqs<5>,IOB,IO_L10P_CC_22,BIDIR,DIFF_SSTL18_II_DCI,22,,,,NONE,,LOCATED,YES,SPLIT,
AD11,dram_dqs_n<5>,IOB,IO_L10N_CC_22,BIDIR,DIFF_SSTL18_II_DCI,22,,,,NONE,,LOCATED,YES,SPLIT,
AD12,,,GND,,,,,,,,,,,,
AD13,,,VCCINT,,,,,,,,1.0,,,,
AD14,,,TDO_0,,,,,,,,,,,,
AD15,,,D_OUT_BUSY_0,,,,,,,,,,,,
AD16,,,GND,,,,,,,,,,,,
AD17,,,VCCINT,,,,,,,,1.0,,,,
AD18,,,GND,,,,,,,,,,,,
AD19,epb_data<7>,IOB,IO_L9N_D0_FS0_2,BIDIR,LVCMOS33,2,12,SLOW,,NONE,,LOCATED,YES,NONE,
AD20,epb_data<3>,IOB,IO_L7N_D4_2,BIDIR,LVCMOS33,2,12,SLOW,,NONE,,LOCATED,YES,NONE,
AD21,,,M0_0,,,,,,,,,,,,
AD22,,,M2_0,,,,,,,,,,,,
AD23,,,VCCO_0,,,0,,,,,any******,,,,
AD24,adcmkid1_DI_p<4>,IOB,IO_L19P_21,INPUT,LVDS_25,21,,,,NONE,,LOCATED,YES,DIFF_TERM,
AD25,adcmkid1_DI_n<2>,IOB,IO_L18N_21,INPUT,LVDS_25,21,,,,NONE,,LOCATED,NO,DIFF_TERM,
AD26,adcmkid1_DI_p<2>,IOB,IO_L18P_21,INPUT,LVDS_25,21,,,,NONE,,LOCATED,YES,DIFF_TERM,
AD27,adcmkid1_ADC_ext_in_n,IOB,IO_L4N_VREF_21,INPUT,LVDS_25,21,,,,NONE,,LOCATED,NO,DIFF_TERM,
AD28,,,GND,,,,,,,,,,,,
AD29,adcmkid1_DI_n<0>,IOB,IO_L15N_17,INPUT,LVDS_25,17,,,,NONE,,LOCATED,NO,DIFF_TERM,
AD30,,IOBM,IO_L13P_17,UNUSED,,17,,,,,,,,,
AD31,,IOBM,IO_L12P_VRN_17,UNUSED,,17,,,,,,,,,
AD32,,IOBM,IO_L11P_CC_13,UNUSED,,13,,,,,,,,,
AD33,,,VCCO_17,,,17,,,,,any******,,,,
