#Release 11.4 - par L.68 (lin64)
#Copyright (c) 1995-2009 Xilinx, Inc.  All rights reserved.

#Thu Jul 19 14:00:20 2012

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system_map.ncd
#OUTPUT FILE:      system_pad.csv
#PART TYPE:        xc5vsx95t
#SPEED GRADE:      -1
#PACKAGE:          ff1136
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
B34,,,GND,,,,,,,,,,,,
C1,,IPAD,MGTRXN1_120,UNUSED,,,,,,,,,,,
C2,,,GND,,,,,,,,,,,,
C3,,,MGTAVTTRX_120,,,,,,,,,,,,
C4,,,MGTAVTTTX_120,,,,,,,,,,,,
C5,,,MGTAVTTTX_124,,,,,,,,,,,,
C6,,,MGTAVCCPLL_124,,,,,,,,,,,,
C7,,,MGTAVCC_124,,,,,,,,,,,,
C8,,IPAD,MGTREFCLKN_124,UNUSED,,,,,,,,,,,
C9,,,MGTAVTTRX_124,,,,,,,,,,,,
C10,,,MGTAVTTTX_124,,,,,,,,,,,,
C11,,,GND,,,,,,,,,,,,
C12,,IOBS,IO_L6N_20,UNUSED,,20,,,,,,,,,
C13,,IOBS,IO_L11N_CC_20,UNUSED,,20,,,,,,,,,
C14,,IOBM,IO_L3P_5,UNUSED,,5,,,,,,,,,
C15,,IOBS,IO_L3N_5,UNUSED,,5,,,,,,,,,
C16,,,VCCO_5,,,5,,,,,any******,,,,
C17,,IOBM,IO_L5P_5,UNUSED,,5,,,,,,,,,
C18,,IOBS,IO_L2N_23,UNUSED,,23,,,,,,,,,
C19,,IOBM,IO_L2P_23,UNUSED,,23,,,,,,,,,
C20,,IOBM,IO_L0P_23,UNUSED,,23,,,,,,,,,
C21,,,GND,,,,,,,,,,,,
C22,,IOBM,IO_L3P_23,UNUSED,,23,,,,,,,,,
C23,,IOBM,IO_L5P_23,UNUSED,,23,,,,,,,,,
C24,,IOBM,IO_L8P_CC_23,UNUSED,,23,,,,,,,,,
C25,,IOBS,IO_L11N_CC_23,UNUSED,,23,,,,,,,,,
C26,,,VCCO_23,,,23,,,,,any******,,,,
C27,,IOBS,IO_L13N_23,UNUSED,,23,,,,,,,,,
C28,,IOBM,IO_L15P_23,UNUSED,,23,,,,,,,,,
C29,,IOBM,IO_L12P_VRN_23,UNUSED,,23,,,,,,,,,
C30,,IOBM,IO_L17P_23,UNUSED,,23,,,,,,,,,
C31,,,GND,,,,,,,,,,,,
C32,dac0_not_sdenb_q,IOB,IO_L2P_11,OUTPUT,LVCMOS25*,11,12,SLOW,,,,LOCATED,NO,NONE,
C33,dac0_sync_i_n,IOBS,IO_L1N_11,OUTPUT,LVDS_25,11,,,,,,LOCATED,NO,NONE,
C34,dac0_sdi,IOB,IO_L3P_11,OUTPUT,LVCMOS25*,11,12,SLOW,,,,LOCATED,NO,NONE,
D1,,IPAD,MGTRXP1_120,UNUSED,,,,,,,,,,,
D2,,OPAD,MGTTXN1_120,UNUSED,,,,,,,,,,,
D3,,,MGTAVCCPLL_120,,,,,,,,,,,,
D4,,IPAD,MGTREFCLKN_120,UNUSED,,,,,,,,,,,
D5,,,MGTAVCC_120,,,,,,,,,,,,
D6,,,GND,,,,,,,,,,,,
D7,,,MGTAVCC_124,,,,,,,,,,,,
D8,,IPAD,MGTREFCLKP_124,UNUSED,,,,,,,,,,,
D9,,,GND,,,,,,,,,,,,
D10,,IOBS,IO_L4N_VREF_20,UNUSED,,20,,,,,,,,,
D11,,IOBM,IO_L4P_20,UNUSED,,20,,,,,,,,,
D12,,IOBM,IO_L6P_20,UNUSED,,20,,,,,,,,,
D13,,,VCCO_1,,,1,,,,,3.30,,,,
D14,,IOBM,IO_L9P_CC_5,UNUSED,,5,,,,,,,,,
D15,,IOBS,IO_L7N_5,UNUSED,,5,,,,,,,,,
D16,,IOBM,IO_L7P_5,UNUSED,,5,,,,,,,,,
D17,,IOBS,IO_L5N_5,UNUSED,,5,,,,,,,,,
D18,,,GND,,,,,,,,,,,,
D19,,IOBS,IO_L12N_VRP_5,UNUSED,,5,,,,,,,,,
D20,,IOBS,IO_L6N_5,UNUSED,,5,,,,,,,,,
D21,,IOBM,IO_L13P_5,UNUSED,,5,,,,,,,,,
D22,,IOBS,IO_L13N_5,UNUSED,,5,,,,,,,,,
D23,,,VCCO_3,,,3,,,,,2.50,,,,
D24,,IOBM,IO_L17P_5,UNUSED,,5,,,,,,,,,
D25,,IOBS,IO_L8N_CC_23,UNUSED,,23,,,,,,,,,
D26,,IOBM,IO_L13P_23,UNUSED,,23,,,,,,,,,
D27,,IOBS,IO_L15N_23,UNUSED,,23,,,,,,,,,
D28,,,GND,,,,,,,,,,,,
D29,,IOBS,IO_L17N_23,UNUSED,,23,,,,,,,,,
D30,,IOBS,IO_L18N_23,UNUSED,,23,,,,,,,,,
D31,,IOBM,IO_L18P_23,UNUSED,,23,,,,,,,,,
D32,,IOBS,IO_L2N_11,UNUSED,,11,,,,,,,,,
D33,,,GND,,,,,,,,,,,,
D34,dac0_not_reset,IOB,IO_L3N_11,OUTPUT,LVCMOS25*,11,12,SLOW,,,,LOCATED,NO,NONE,
E2,,OPAD,MGTTXP1_120,UNUSED,,,,,,,,,,,
E3,,,MGTAVTTTX_120,,,,,,,,,,,,
E4,,IPAD,MGTREFCLKP_120,UNUSED,,,,,,,,,,,
E5,,,GND,,,,,,,,,,,,
E6,,IOBM,IO_L19P_12,UNUSED,,12,,,,,,,,,
E7,,IOBS,IO_L19N_12,UNUSED,,12,,,,,,,,,
E8,,IOBS,IO_L0N_20,UNUSED,,20,,,,,,,,,
E9,,IOBM,IO_L0P_20,UNUSED,,20,,,,,,,,,
E10,,,VCCO_20,,,20,,,,,any******,,,,
E11,,IOBS,IO_L15N_20,UNUSED,,20,,,,,,,,,
E12,,IOBM,IO_L17P_20,UNUSED,,20,,,,,,,,,
E13,,IOBS,IO_L17N_20,UNUSED,,20,,,,,,,,,
E14,,IOBS,IO_L9N_CC_5,UNUSED,,5,,,,,,,,,
E15,,,GND,,,,,,,,,,,,
E16,,IOBS,IO_L10N_CC_5,UNUSED,,5,,,,,,,,,
E17,,IOBM,IO_L10P_CC_5,UNUSED,,5,,,,,,,,,
E18,,IOBM,IO_L12P_VRN_5,UNUSED,,5,,,,,,,,,
E19,,IOBM,IO_L4P_5,UNUSED,,5,,,,,,,,,
E20,,,VCCO_3,,,3,,,,,2.50,,,,
E21,,IOBM,IO_L6P_5,UNUSED,,5,,,,,,,,,
E22,,IOBM,IO_L15P_5,UNUSED,,5,,,,,,,,,
E23,,IOBS,IO_L17N_5,UNUSED,,5,,,,,,,,,
E24,,IOBS,IO_L19N_5,UNUSED,,5,,,,,,,,,
E25,,,GND,,,,,,,,,,,,
E26,dac0_smpl_clk_q_p,IOBM,IO_L11P_CC_19,OUTPUT,LVDS_25,19,,,,,,LOCATED,NO,NONE,
E27,dac0_smpl_clk_q_n,IOBS,IO_L11N_CC_19,OUTPUT,LVDS_25,19,,,,,,LOCATED,NO,NONE,
E28,dac0_sclk,IOB,IO_L10P_CC_19,OUTPUT,LVCMOS25*,19,12,SLOW,,,,LOCATED,NO,NONE,
E29,dac0_data_i_p<12>,IOBM,IO_L0P_15,OUTPUT,LVDS_25,15,,,,,,LOCATED,YES,NONE,
E30,,,VCCO_19,,,19,,,,,2.50,,,,
E31,dac0_data_i_n<14>,IOBS,IO_L3N_15,OUTPUT,LVDS_25,15,,,,,,LOCATED,NO,NONE,
E32,dac0_data_i_p<8>,IOBM,IO_L6P_11,OUTPUT,LVDS_25,11,,,,,,LOCATED,YES,NONE,
E33,dac0_data_i_n<8>,IOBS,IO_L6N_11,OUTPUT,LVDS_25,11,,,,,,LOCATED,NO,NONE,
E34,dac0_data_i_n<6>,IOBS,IO_L5N_11,OUTPUT,LVDS_25,11,,,,,,LOCATED,NO,NONE,
F2,,OPAD,MGTTXP0_116,UNUSED,,,,,,,,,,,
F3,,,MGTAVTTTX_116,,,,,,,,,,,,
F4,,,MGTAVCC_120,,,,,,,,,,,,
F5,,IOBM,IO_L15P_12,UNUSED,,12,,,,,,,,,
F6,,IOBS,IO_L15N_12,UNUSED,,12,,,,,,,,,
F7,,,GND,,,,,,,,,,,,
F8,,IOBS,IO_L1N_20,UNUSED,,20,,,,,,,,,
F9,,IOBM,IO_L1P_20,UNUSED,,20,,,,,,,,,
F10,,IOBM,IO_L2P_20,UNUSED,,20,,,,,,,,,
F11,,IOBM,IO_L15P_20,UNUSED,,20,,,,,,,,,
F12,,,GND,,,,,,,,,,,,
F13,,IOBM,IO_L19P_20,UNUSED,,20,,,,,,,,,
F14,,IOBM,IO_L18P_5,UNUSED,,5,,,,,,,,,
F15,,IOBS,IO_L18N_5,UNUSED,,5,,,,,,,,,
F16,,IOBS,IO_L16N_5,UNUSED,,5,,,,,,,,,
F17,,,VCCO_5,,,5,,,,,any******,,,,
F18,,IOBM,IO_L14P_5,UNUSED,,5,,,,,,,,,
F19,,IOBS,IO_L4N_VREF_5,UNUSED,,5,,,,,,,,,
F20,,IOBS,IO_L8N_CC_5,UNUSED,,5,,,,,,,,,
F21,,IOBM,IO_L11P_CC_5,UNUSED,,5,,,,,,,,,
F22,,,GND,,,,,,,,,,,,
F23,,IOBS,IO_L15N_5,UNUSED,,5,,,,,,,,,
F24,,IOBM,IO_L19P_5,UNUSED,,5,,,,,,,,,
F25,dac0_data_i_p<13>,IOBM,IO_L7P_19,OUTPUT,LVDS_25,19,,,,,,LOCATED,YES,NONE,
F26,dac0_data_i_n<13>,IOBS,IO_L7N_19,OUTPUT,LVDS_25,19,,,,,,LOCATED,NO,NONE,
F27,,,VCCO_23,,,23,,,,,any******,,,,
F28,dac0_not_sdenb_i,IOB,IO_L10N_CC_19,OUTPUT,LVCMOS25*,19,12,SLOW,,,,LOCATED,NO,NONE,
F29,dac0_data_i_n<12>,IOBS,IO_L0N_15,OUTPUT,LVDS_25,15,,,,,,LOCATED,NO,NONE,
F30,dac0_data_i_n<5>,IOBS,IO_L1N_15,OUTPUT,LVDS_25,15,,,,,,LOCATED,NO,NONE,
F31,dac0_data_i_p<14>,IOBM,IO_L3P_15,OUTPUT,LVDS_25,15,,,,,,LOCATED,YES,NONE,
F32,,,GND,,,,,,,,,,,,
F33,dac0_data_i_p<6>,IOBM,IO_L5P_11,OUTPUT,LVDS_25,11,,,,,,LOCATED,YES,NONE,
F34,dac0_data_i_n<1>,IOBS,IO_L7N_11,OUTPUT,LVDS_25,11,,,,,,LOCATED,NO,NONE,
G1,,IPAD,MGTRXP0_116,UNUSED,,,,,,,,,,,
G2,,OPAD,MGTTXN0_116,UNUSED,,,,,,,,,,,
G3,,,MGTAVTTRX_116,,,,,,,,,,,,
G4,,,GND,,,,,,,,,,,,
G5,,IOBS,IO_L13N_12,UNUSED,,12,,,,,,,,,
G6,,IOBM,IO_L17P_12,UNUSED,,12,,,,,,,,,
G7,,IOBS,IO_L17N_12,UNUSED,,12,,,,,,,,,
G8,,IOBM,IO_L3P_20,UNUSED,,20,,,,,,,,,
G9,,,GND,,,,,,,,,,,,
G10,,IOBS,IO_L2N_20,UNUSED,,20,,,,,,,,,
G11,,IOBM,IO_L13P_20,UNUSED,,20,,,,,,,,,
G12,,IOBS,IO_L13N_20,UNUSED,,20,,,,,,,,,
G13,,IOBS,IO_L19N_20,UNUSED,,20,,,,,,,,,
G14,,,VCCO_1,,,1,,,,,3.30,,,,
G15,,IOBM,IO_L2P_GC_VRN_3,UNUSED,,3,,,,,,,,,
G16,,IOBS,IO_L2N_GC_VRP_3,UNUSED,,3,,,,,,,,,
G17,,IOBM,IO_L16P_5,UNUSED,,5,,,,,,,,,
G18,,IOBS,IO_L14N_VREF_5,UNUSED,,5,,,,,,,,,
G19,,,GND,,,,,,,,,,,,
G20,,IOBM,IO_L8P_CC_5,UNUSED,,5,,,,,,,,,
G21,,IOBS,IO_L11N_CC_5,UNUSED,,5,,,,,,,,,
G22,epb_addr_gp<1>,IOB,IO_L4P_A11_D27_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,YES,NONE,
G23,ppc_irq_n,IOB,IO_L8P_CC_A3_D19_1,OUTPUT,LVCMOS33,1,12,SLOW,,,,LOCATED,NO,NONE,
G24,,,VCCO_23,,,23,,,,,any******,,,,
G25,dac0_data_i_p<15>,IOBM,IO_L5P_19,OUTPUT,LVDS_25,19,,,,,,LOCATED,YES,NONE,
G26,dac0_data_i_n<15>,IOBS,IO_L5N_19,OUTPUT,LVDS_25,19,,,,,,LOCATED,NO,NONE,
G27,dac0_data_i_p<10>,IOBM,IO_L8P_CC_19,OUTPUT,LVDS_25,19,,,,,,LOCATED,YES,NONE,
G28,dac0_data_i_n<11>,IOBS,IO_L9N_CC_19,OUTPUT,LVDS_25,19,,,,,,LOCATED,NO,NONE,
G29,,,GND,,,,,,,,,,,,
G30,dac0_data_i_p<5>,IOBM,IO_L1P_15,OUTPUT,LVDS_25,15,,,,,,LOCATED,YES,NONE,
G31,dac0_data_i_n<4>,IOBS,IO_L5N_15,OUTPUT,LVDS_25,15,,,,,,LOCATED,NO,NONE,
G32,dac0_data_i_p<2>,IOBM,IO_L4P_11,OUTPUT,LVDS_25,11,,,,,,LOCATED,YES,NONE,
G33,dac0_data_i_p<1>,IOBM,IO_L7P_11,OUTPUT,LVDS_25,11,,,,,,LOCATED,YES,NONE,
G34,,,GND,,,,,,,,,,,,
H1,,IPAD,MGTRXN0_116,UNUSED,,,,,,,,,,,
H2,,,GND,,,,,,,,,,,,
H3,,IPAD,MGTREFCLKN_116,UNUSED,,,,,,,,,,,
H4,,IPAD,MGTREFCLKP_116,UNUSED,,,,,,,,,,,
H5,,IOBM,IO_L13P_12,UNUSED,,12,,,,,,,,,
H6,,,GND,,,,,,,,,,,,
H7,,IOBM,IO_L11P_CC_12,UNUSED,,12,,,,,,,,,
H8,,IOBS,IO_L3N_20,UNUSED,,20,,,,,,,,,
H9,,IOBS,IO_L7N_20,UNUSED,,20,,,,,,,,,
H10,,IOBM,IO_L7P_20,UNUSED,,20,,,,,,,,,
H11,,,VCCO_20,,,20,,,,,any******,,,,
H12,,IOBS,IO_L7N_A4_D20_1,UNUSED,,1,,,,,,,,,
H13,,IOBS,IO_L8N_GC_3,UNUSED,,3,,,,,,,,,
H14,,IOBM,IO_L6P_GC_3,UNUSED,,3,,,,,,,,,
H15,,IOBS,IO_L6N_GC_3,UNUSED,,3,,,,,,,,,
H16,,,GND,,,,,,,,,,,,
H17,adcmkid1_DRDY_I_p,IOB,IO_L0P_CC_GC_3,INPUT,LVDS_25,3,,,,NONE,,LOCATED,NO,DIFF_TERM,
H18,adcmkid1_DRDY_I_n,IOB,IO_L0N_CC_GC_3,INPUT,LVDS_25,3,,,,NONE,,LOCATED,NO,DIFF_TERM,
H19,,IOBM,IO_L9P_GC_3,UNUSED,,3,,,,,,,,,
H20,,IOBS,IO_L9N_GC_3,UNUSED,,3,,,,,,,,,
H21,,,GND,,,,,,,,,,,,
H22,epb_addr<16>,IOB,IO_L4N_VREF_A10_D26_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,YES,NONE,
H23,,IOBS,IO_L8N_CC_A2_D18_1,UNUSED,,1,,,,,,,,,
H24,dac0_data_i_n<9>,IOBS,IO_L6N_19,OUTPUT,LVDS_25,19,,,,,,LOCATED,NO,NONE,
H25,dac0_data_i_p<9>,IOBM,IO_L6P_19,OUTPUT,LVDS_25,19,,,,,,LOCATED,YES,NONE,
H26,,,GND,,,,,,,,,,,,
H27,dac0_data_i_n<10>,IOBS,IO_L8N_CC_19,OUTPUT,LVDS_25,19,,,,,,LOCATED,NO,NONE,
H28,dac0_data_i_p<11>,IOBM,IO_L9P_CC_19,OUTPUT,LVDS_25,19,,,,,,LOCATED,YES,NONE,
H29,dac0_data_i_p<7>,IOBM,IO_L2P_15,OUTPUT,LVDS_25,15,,,,,,LOCATED,YES,NONE,
H30,dac0_data_i_p<4>,IOBM,IO_L5P_15,OUTPUT,LVDS_25,15,,,,,,LOCATED,YES,NONE,
H31,,,VCCO_19,,,19,,,,,2.50,,,,
H32,dac0_data_i_n<2>,IOBS,IO_L4N_VREF_11,OUTPUT,LVDS_25,11,,,,,,LOCATED,NO,NONE,
H33,dac0_data_q_n<10>,IOBS,IO_L8N_CC_11,OUTPUT,LVDS_25,11,,,,,,LOCATED,NO,NONE,
H34,dac0_data_q_p<8>,IOBM,IO_L9P_CC_11,OUTPUT,LVDS_25,11,,,,,,LOCATED,YES,NONE,
J1,,IPAD,MGTRXN1_116,UNUSED,,,,,,,,,,,
J2,,,GND,,,,,,,,,,,,
J3,,,MGTAVCC_116,,,,,,,,,,,,
J4,,,MGTAVCC_116,,,,,,,,,,,,
J5,,IOBS,IO_L8N_CC_12,UNUSED,,12,,,,,,,,,
J6,,IOBM,IO_L8P_CC_12,UNUSED,,12,,,,,,,,,
J7,,IOBS,IO_L11N_CC_12,UNUSED,,12,,,,,,,,,
J8,,,VCCO_20,,,20,,,,,any******,,,,
J9,,IOBS,IO_L9N_CC_20,UNUSED,,20,,,,,,,,,
J10,,IOBM,IO_L9P_CC_20,UNUSED,,20,,,,,,,,,
J11,,IOBS,IO_L5N_20,UNUSED,,20,,,,,,,,,
J12,,IOBM,IO_L7P_A5_D21_1,UNUSED,,1,,,,,,,,,
J13,,,GND,,,,,,,,,,,,
J14,,IOBM,IO_L8P_GC_3,UNUSED,,3,,,,,,,,,
J15,epb_addr<22>,IOB,IO_L3N_A12_D28_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,YES,NONE,
J16,dly_clk_p,IOB,IO_L4P_GC_3,INPUT,LVDS_25,3,,,,NONE,,LOCATED,NO,NONE,
J17,dly_clk_n,IOB,IO_L4N_GC_VREF_3,INPUT,LVDS_25,3,,,,NONE,,LOCATED,NO,NONE,
J18,,,GND,,,,,,,,,,,,
J19,,IOBS,IO_L3N_GC_3,UNUSED,,3,,,,,,,,,
J20,dac0_sync_q_p,IOBM,IO_L7P_GC_3,OUTPUT,LVDS_25,3,,,,,,LOCATED,YES,NONE,
J21,dac0_sync_q_n,IOBS,IO_L7N_GC_3,OUTPUT,LVDS_25,3,,,,,,LOCATED,NO,NONE,
J22,epb_addr<15>,IOB,IO_L2P_A15_D31_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,YES,NONE,
J23,,,GND,,,,,,,,,,,,
J24,dac0_data_i_p<0>,IOBM,IO_L2P_19,OUTPUT,LVDS_25,19,,,,,,LOCATED,YES,NONE,
J25,dac0_data_i_n<0>,IOBS,IO_L2N_19,OUTPUT,LVDS_25,19,,,,,,LOCATED,NO,NONE,
J26,dac0_data_q_n<13>,IOBS,IO_L4N_VREF_19,OUTPUT,LVDS_25,19,,,,,,LOCATED,NO,NONE,
J27,dac0_data_q_p<13>,IOBM,IO_L4P_19,OUTPUT,LVDS_25,19,,,,,,LOCATED,YES,NONE,
J28,,,VCCO_19,,,19,,,,,2.50,,,,
J29,dac0_data_i_n<7>,IOBS,IO_L2N_15,OUTPUT,LVDS_25,15,,,,,,LOCATED,NO,NONE,
J30,dac0_data_q_p<12>,IOBM,IO_L6P_15,OUTPUT,LVDS_25,15,,,,,,LOCATED,YES,NONE,
J31,dac0_data_q_n<12>,IOBS,IO_L6N_15,OUTPUT,LVDS_25,15,,,,,,LOCATED,NO,NONE,
J32,dac0_data_q_p<10>,IOBM,IO_L8P_CC_11,OUTPUT,LVDS_25,11,,,,,,LOCATED,YES,NONE,
J33,,,GND,,,,,,,,,,,,
J34,dac0_data_q_n<8>,IOBS,IO_L9N_CC_11,OUTPUT,LVDS_25,11,,,,,,LOCATED,NO,NONE,
K1,,IPAD,MGTRXP1_116,UNUSED,,,,,,,,,,,
K2,,OPAD,MGTTXN1_116,UNUSED,,,,,,,,,,,
K3,,,MGTAVCCPLL_116,,,,,,,,,,,,
K4,,,GND,,,,,,,,,,,,
K5,,,GND,,,,,,,,,,,,
K6,,IOBS,IO_L6N_12,UNUSED,,12,,,,,,,,,
K7,,IOBM,IO_L6P_12,UNUSED,,12,,,,,,,,,
K8,,IOBM,IO_L10P_CC_20,UNUSED,,20,,,,,,,,,
K9,,IOBS,IO_L10N_CC_20,UNUSED,,20,,,,,,,,,
K10,,,GND,,,,,,,,,,,,
K11,,IOBM,IO_L5P_20,UNUSED,,20,,,,,,,,,
K12,epb_rdy,IOB,IO_L9N_CC_A0_D16_1,TRISTATE,LVCMOS33,1,12,SLOW,,,,LOCATED,YES,NONE,
K13,epb_cs_n,IOB,IO_L9P_CC_A1_D17_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,YES,NONE,
K14,,IOBS,IO_L5N_A8_D24_1,UNUSED,,1,,,,,,,,,
K15,,,GND,,,,,,,,,,,,
K16,epb_addr<21>,IOB,IO_L3P_A13_D29_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,YES,NONE,
K17,,IOBM,IO_L1P_CC_GC_3,UNUSED,,3,,,,,,,,,
K18,,IOBM,IO_L3P_GC_3,UNUSED,,3,,,,,,,,,
K19,,IOBS,IO_L5N_GC_3,UNUSED,,3,,,,,,,,,
K20,,,GND,,,,,,,,,,,,
K21,epb_addr<20>,IOB,IO_L2N_A14_D30_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,YES,NONE,
K22,epb_addr<19>,IOB,IO_L6N_A6_D22_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,YES,NONE,
K23,epb_addr_gp<2>,IOB,IO_L6P_A7_D23_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,YES,NONE,
K24,dac0_data_i_p<3>,IOBM,IO_L0P_19,OUTPUT,LVDS_25,19,,,,,,LOCATED,YES,NONE,
K25,,,GND,,,,,,,,,,,,
K26,dac0_data_q_n<15>,IOBS,IO_L14N_VREF_19,OUTPUT,LVDS_25,19,,,,,,LOCATED,NO,NONE,
K27,dac0_data_q_p<15>,IOBM,IO_L14P_19,OUTPUT,LVDS_25,19,,,,,,LOCATED,YES,NONE,
K28,dac0_data_q_p<14>,IOBM,IO_L13P_19,OUTPUT,LVDS_25,19,,,,,,LOCATED,YES,NONE,
K29,dac0_data_q_n<5>,IOBS,IO_L4N_VREF_15,OUTPUT,LVDS_25,15,,,,,,LOCATED,NO,NONE,
K30,,,GND,,,,,,,,,,,,
K31,dac0_data_q_p<6>,IOBM,IO_L9P_CC_15,OUTPUT,LVDS_25,15,,,,,,LOCATED,YES,NONE,
K32,dac0_data_q_n<0>,IOBS,IO_L11N_CC_SM14N_11,OUTPUT,LVDS_25,11,,,,,,LOCATED,NO,NONE,
K33,dac0_data_q_p<0>,IOBM,IO_L11P_CC_SM14P_11,OUTPUT,LVDS_25,11,,,,,,LOCATED,YES,NONE,
K34,dac0_data_q_n<4>,IOBS,IO_L10N_CC_SM15N_11,OUTPUT,LVDS_25,11,,,,,,LOCATED,NO,NONE,
L2,,OPAD,MGTTXP1_116,UNUSED,,,,,,,,,,,
L3,,,MGTAVTTTX_116,,,,,,,,,,,,
L4,,IOBM,IO_L4P_12,UNUSED,,12,,,,,,,,,
L5,,IOBS,IO_L4N_VREF_12,UNUSED,,12,,,,,,,,,
L6,,IOBS,IO_L2N_12,UNUSED,,12,,,,,,,,,
L7,,,GND,,,,,,,,,,,,
L8,,IOBS,IO_L14N_VREF_20,UNUSED,,20,,,,,,,,,
L9,,IOBS,IO_L16N_20,UNUSED,,20,,,,,,,,,
L10,,IOBM,IO_L12P_VRN_20,UNUSED,,20,,,,,,,,,
L11,,IOBS,IO_L12N_VRP_20,UNUSED,,20,,,,,,,,,
L12,,,VCCAUX,,,,,,,,2.5,,,,
L13,,,GND,,,,,,,,,,,,
L14,,IOBM,IO_L5P_A9_D25_1,UNUSED,,1,,,,,,,,,
L15,epb_addr<17>,IOB,IO_L1P_A17_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,YES,NONE,
L16,epb_addr<18>,IOB,IO_L1N_A16_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,YES,NONE,
L17,,,GND,,,,,,,,,,,,
L18,,IOBS,IO_L1N_CC_GC_3,UNUSED,,3,,,,,,,,,
L19,,IOBM,IO_L5P_GC_3,UNUSED,,3,,,,,,,,,
L20,epb_addr<14>,IOB,IO_L0N_A18_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,YES,NONE,
L21,epb_addr_gp<0>,IOB,IO_L0P_A19_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,YES,NONE,
L22,,,GND,,,,,,,,,,,,
L23,,,VBATT_0,,,,,,,,,,,,
L24,dac0_data_i_n<3>,IOBS,IO_L0N_19,OUTPUT,LVDS_25,19,,,,,,LOCATED,NO,NONE,
L25,dac0_data_q_p<9>,IOBM,IO_L1P_19,OUTPUT,LVDS_25,19,,,,,,LOCATED,YES,NONE,
L26,dac0_data_q_n<9>,IOBS,IO_L1N_19,OUTPUT,LVDS_25,19,,,,,,LOCATED,NO,NONE,
L27,,,GND,,,,,,,,,,,,
L28,dac0_data_q_n<14>,IOBS,IO_L13N_19,OUTPUT,LVDS_25,19,,,,,,LOCATED,NO,NONE,
L29,dac0_data_q_p<5>,IOBM,IO_L4P_15,OUTPUT,LVDS_25,15,,,,,,LOCATED,YES,NONE,
L30,dac0_data_q_p<2>,IOBM,IO_L7P_15,OUTPUT,LVDS_25,15,,,,,,LOCATED,YES,NONE,
L31,dac0_data_q_n<6>,IOBS,IO_L9N_CC_15,OUTPUT,LVDS_25,15,,,,,,LOCATED,NO,NONE,
L32,,,VCCO_15,,,15,,,,,2.50,,,,
L33,,IOBM,IO_L13P_11,UNUSED,,11,,,,,,,,,
L34,dac0_data_q_p<4>,IOBM,IO_L10P_CC_SM15P_11,OUTPUT,LVDS_25,11,,,,,,LOCATED,YES,NONE,
M2,,OPAD,MGTTXP0_112,UNUSED,,,,,,,,,,,
M3,,,MGTAVTTTX_112,,,,,,,,,,,,
M4,,,GND,,,,,,,,,,,,
M5,,IOBS,IO_L0N_12,UNUSED,,12,,,,,,,,,
M6,,IOBM,IO_L0P_12,UNUSED,,12,,,,,,,,,
M7,,IOBM,IO_L2P_12,UNUSED,,12,,,,,,,,,
M8,,IOBM,IO_L14P_20,UNUSED,,20,,,,,,,,,
M9,,,VCCO_12,,,12,,,,,any******,,,,
M10,,IOBM,IO_L16P_20,UNUSED,,20,,,,,,,,,
M11,,,VCCAUX,,,,,,,,2.5,,,,
M12,,,GND,,,,,,,,,,,,
M13,,,VCCINT,,,,,,,,1.0,,,,
M14,,,GND,,,,,,,,,,,,
M15,,,DONE_0,,,,,,,,,,,,
M16,,,GND,,,,,,,,,,,,
M17,,,VCCINT,,,,,,,,1.0,,,,
M18,,,GND,,,,,,,,,,,,
M19,,,VCCINT,,,,,,,,1.0,,,,
M20,,,GND,,,,,,,,,,,,
M21,,,VCCAUX,,,,,,,,2.5,,,,
M22,,,PROGRAM_B_0,,,,,,,,,,,,
M23,,,HSWAPEN_0,,,,,,,,,,,,
M24,,,GND,,,,,,,,,,,,
M25,dac0_data_q_p<11>,IOBM,IO_L3P_19,OUTPUT,LVDS_25,19,,,,,,LOCATED,YES,NONE,
M26,dac0_data_q_n<11>,IOBS,IO_L3N_19,OUTPUT,LVDS_25,19,,,,,,LOCATED,NO,NONE,
M27,dac0_data_q_n<1>,IOBS,IO_L12N_VRP_19,OUTPUT,LVDS_25,19,,,,,,LOCATED,NO,NONE,
